Quarter Ending ,HSC Trust,Specialty,Programme of Care,0 - 6 weeks,> 6 - 13 weeks,> 13 - 21 weeks,> 21 - 26 weeks,> 26 weeks,> 26-30 weeks,> 30 weeks,>30-36 weeks,> 26 - 36 weeks,> 36 weeks,Total,
30-Sep-2007,Belfast,General Surgery,Acute Services,392,271,203,0,0,--,--,--,--,--,866,
30-Sep-2007,Belfast,Urology,Acute Services,178,197,128,2,0,--,--,--,--,--,505,
30-Sep-2007,Belfast,T & O Surgery,Acute Services,866,"1,015",630,13,237,--,--,--,--,--,"2,761",
30-Sep-2007,Belfast,ENT,Acute Services,288,321,292,16,0,--,--,--,--,--,917,
30-Sep-2007,Belfast,Ophthalmology,Acute Services,181,171,129,4,0,--,--,--,--,--,485,
30-Sep-2007,Belfast,Oral Surgery,Acute Services,24,22,24,0,0,--,--,--,--,--,70,
30-Sep-2007,Belfast,Paediatric Dentistry,Acute Services,0,1,0,0,0,--,--,--,--,--,1,
30-Sep-2007,Belfast,Neurosurgery,Acute Services,44,29,4,0,0,--,--,--,--,--,77,
30-Sep-2007,Belfast,Plastic Surgery,Acute Services,40,41,35,0,0,--,--,--,--,--,116,
30-Sep-2007,Belfast,Cardiac Surgery,Acute Services,96,88,36,1,0,--,--,--,--,--,221,
30-Sep-2007,Belfast,Paediatric Surgery,Acute Services,32,16,23,0,0,--,--,--,--,--,71,
30-Sep-2007,Belfast,Thoracic Surgery,Acute Services,28,9,2,0,0,--,--,--,--,--,39,
30-Sep-2007,Belfast,Pain Management,Acute Services,1,3,0,0,0,--,--,--,--,--,4,
30-Sep-2007,Belfast,General Medicine,Acute Services,14,10,3,0,0,--,--,--,--,--,27,
30-Sep-2007,Belfast,Gastroenterology,Acute Services,12,6,1,0,0,--,--,--,--,--,19,
30-Sep-2007,Belfast,Endocrinology,Acute Services,21,0,2,0,0,--,--,--,--,--,23,
30-Sep-2007,Belfast,Cardiology,Acute Services,101,75,41,0,0,--,--,--,--,--,217,
30-Sep-2007,Belfast,Dermatology,Acute Services,3,1,0,0,0,--,--,--,--,--,4,
30-Sep-2007,Belfast,Thoracic Medicine,Acute Services,23,12,9,0,0,--,--,--,--,--,44,
30-Sep-2007,Belfast,Nephrology,Acute Services,9,6,4,0,0,--,--,--,--,--,19,
30-Sep-2007,Belfast,Neurology,Acute Services,44,30,16,0,0,--,--,--,--,--,90,
30-Sep-2007,Belfast,Rheumatology,Acute Services,3,0,0,0,0,--,--,--,--,--,3,
30-Sep-2007,Belfast,Paediatrics,Acute Services,0,1,0,0,0,--,--,--,--,--,1,
30-Sep-2007,Belfast,Gynaecology,Acute Services,135,96,83,0,0,--,--,--,--,--,314,
30-Sep-2007,Belfast,Mental Illness,Mental Health,4,1,0,0,0,--,--,--,--,--,5,
30-Sep-2007,Belfast,Child & Adolescent Psychiatry,Mental Health,3,0,0,0,0,--,--,--,--,--,3,
30-Sep-2007,Belfast,Psychotherapy,Mental Health,7,0,0,0,0,--,--,--,--,--,7,
30-Sep-2007,Northern,General Surgery,Acute Services,169,117,39,0,0,--,--,--,--,--,325,
30-Sep-2007,Northern,Urology,Acute Services,42,23,14,0,0,--,--,--,--,--,79,
30-Sep-2007,Northern,ENT,Acute Services,143,84,13,0,0,--,--,--,--,--,240,
30-Sep-2007,Northern,Oral Surgery,Acute Services,0,1,0,0,0,--,--,--,--,--,1,
30-Sep-2007,Northern,General Medicine,Acute Services,8,4,2,0,0,--,--,--,--,--,14,
30-Sep-2007,Northern,Gastroenterology,Acute Services,0,1,0,0,0,--,--,--,--,--,1,
30-Sep-2007,Northern,Cardiology,Acute Services,10,13,7,0,0,--,--,--,--,--,30,
30-Sep-2007,Northern,Gynaecology,Acute Services,108,125,59,0,0,--,--,--,--,--,292,
30-Sep-2007,Northern,GP Other,Acute Services,2,0,0,0,0,--,--,--,--,--,2,
30-Sep-2007,South Eastern,General Surgery,Acute Services,125,53,67,0,0,--,--,--,--,--,245,
30-Sep-2007,South Eastern,T & O Surgery,Acute Services,5,1,1,0,0,--,--,--,--,--,7,
30-Sep-2007,South Eastern,ENT,Acute Services,55,52,38,0,0,--,--,--,--,--,145,
30-Sep-2007,South Eastern,Ophthalmology,Acute Services,0,1,1,0,0,--,--,--,--,--,2,
30-Sep-2007,South Eastern,Oral Surgery,Acute Services,10,28,10,0,0,--,--,--,--,--,48,
30-Sep-2007,South Eastern,Restorative Dentistry,Acute Services,0,1,0,0,0,--,--,--,--,--,1,
30-Sep-2007,South Eastern,Plastic Surgery,Acute Services,53,25,29,0,0,--,--,--,--,--,107,
30-Sep-2007,South Eastern,Paediatric Surgery,Acute Services,0,1,0,0,0,--,--,--,--,--,1,
30-Sep-2007,South Eastern,Pain Management,Acute Services,2,0,0,0,0,--,--,--,--,--,2,
30-Sep-2007,South Eastern,General Medicine,Acute Services,10,5,0,0,0,--,--,--,--,--,15,
30-Sep-2007,South Eastern,Cardiology,Acute Services,9,2,0,0,0,--,--,--,--,--,11,
30-Sep-2007,South Eastern,Paediatrics,Acute Services,1,0,0,0,0,--,--,--,--,--,1,
30-Sep-2007,South Eastern,Gynaecology,Acute Services,80,75,46,0,0,--,--,--,--,--,201,
30-Sep-2007,South Eastern,GP Other,Acute Services,8,0,0,0,0,--,--,--,--,--,8,
30-Sep-2007,Southern,General Surgery,Acute Services,196,136,119,0,0,--,--,--,--,--,451,
30-Sep-2007,Southern,Urology,Acute Services,86,75,66,0,1,--,--,--,--,--,228,
30-Sep-2007,Southern,T & O Surgery,Acute Services,1,0,0,0,0,--,--,--,--,--,1,
30-Sep-2007,Southern,ENT,Acute Services,160,127,168,0,0,--,--,--,--,--,455,
30-Sep-2007,Southern,Gastroenterology,Acute Services,0,1,0,0,0,--,--,--,--,--,1,
30-Sep-2007,Southern,Cardiology,Acute Services,56,12,6,0,0,--,--,--,--,--,74,
30-Sep-2007,Southern,Gynaecology,Acute Services,114,107,85,0,0,--,--,--,--,--,306,
30-Sep-2007,Western,General Surgery,Acute Services,141,82,82,0,0,--,--,--,--,--,305,
30-Sep-2007,Western,Urology,Acute Services,28,16,23,0,0,--,--,--,--,--,67,
30-Sep-2007,Western,T & O Surgery,Acute Services,209,162,141,3,0,--,--,--,--,--,515,
30-Sep-2007,Western,ENT,Acute Services,166,145,146,0,0,--,--,--,--,--,457,
30-Sep-2007,Western,Ophthalmology,Acute Services,1,2,2,0,0,--,--,--,--,--,5,
30-Sep-2007,Western,Oral Surgery,Acute Services,27,15,6,0,0,--,--,--,--,--,48,
30-Sep-2007,Western,General Medicine,Acute Services,3,0,0,0,0,--,--,--,--,--,3,
30-Sep-2007,Western,Gynaecology,Acute Services,84,93,61,0,0,--,--,--,--,--,238,
31-Dec-2007,Belfast,General Surgery,Acute Services,507,355,136,0,0,--,--,--,--,--,998,
31-Dec-2007,Belfast,Urology,Acute Services,190,169,117,26,15,--,--,--,--,--,517,
31-Dec-2007,Belfast,T & O Surgery,Acute Services,889,"1,050",756,37,248,--,--,--,--,--,"2,980",
31-Dec-2007,Belfast,ENT,Acute Services,324,416,220,0,0,--,--,--,--,--,960,
31-Dec-2007,Belfast,Ophthalmology,Acute Services,117,223,165,0,0,--,--,--,--,--,505,
31-Dec-2007,Belfast,Oral Surgery,Acute Services,14,51,27,0,0,--,--,--,--,--,92,
31-Dec-2007,Belfast,Neurosurgery,Acute Services,31,34,0,0,0,--,--,--,--,--,65,
31-Dec-2007,Belfast,Plastic Surgery,Acute Services,39,53,28,0,0,--,--,--,--,--,120,
31-Dec-2007,Belfast,Cardiac Surgery,Acute Services,96,152,64,0,0,--,--,--,--,--,312,
31-Dec-2007,Belfast,Paediatric Surgery,Acute Services,37,20,16,0,0,--,--,--,--,--,73,
31-Dec-2007,Belfast,Thoracic Surgery,Acute Services,53,17,7,0,0,--,--,--,--,--,77,
31-Dec-2007,Belfast,Pain Management,Acute Services,1,0,2,0,0,--,--,--,--,--,3,
31-Dec-2007,Belfast,General Medicine,Acute Services,68,30,3,0,0,--,--,--,--,--,101,
31-Dec-2007,Belfast,Gastroenterology,Acute Services,9,5,4,0,0,--,--,--,--,--,18,
31-Dec-2007,Belfast,Endocrinology,Acute Services,10,1,0,0,0,--,--,--,--,--,11,
31-Dec-2007,Belfast,Cardiology,Acute Services,107,77,37,0,0,--,--,--,--,--,221,
31-Dec-2007,Belfast,Dermatology,Acute Services,6,0,0,0,0,--,--,--,--,--,6,
31-Dec-2007,Belfast,Thoracic Medicine,Acute Services,15,23,5,0,0,--,--,--,--,--,43,
31-Dec-2007,Belfast,Nephrology,Acute Services,13,7,1,0,0,--,--,--,--,--,21,
31-Dec-2007,Belfast,Neurology,Acute Services,50,31,30,0,0,--,--,--,--,--,111,
31-Dec-2007,Belfast,Rheumatology,Acute Services,9,0,0,0,0,--,--,--,--,--,9,
31-Dec-2007,Belfast,Gynaecology,Acute Services,150,106,72,0,0,--,--,--,--,--,328,
31-Dec-2007,Belfast,Mental Illness,Mental Health,6,2,0,0,0,--,--,--,--,--,8,
31-Dec-2007,Belfast,Child & Adolescent Psychiatry,Mental Health,2,4,0,0,0,--,--,--,--,--,6,
31-Dec-2007,Belfast,Psychotherapy,Mental Health,15,2,0,0,0,--,--,--,--,--,17,
31-Dec-2007,Northern,General Surgery,Acute Services,203,134,47,0,0,--,--,--,--,--,384,
31-Dec-2007,Northern,Urology,Acute Services,49,34,7,0,0,--,--,--,--,--,90,
31-Dec-2007,Northern,ENT,Acute Services,106,166,62,0,0,--,--,--,--,--,334,
31-Dec-2007,Northern,General Medicine,Acute Services,4,3,1,0,0,--,--,--,--,--,8,
31-Dec-2007,Northern,Gastroenterology,Acute Services,2,2,1,0,0,--,--,--,--,--,5,
31-Dec-2007,Northern,Cardiology,Acute Services,9,11,1,0,0,--,--,--,--,--,21,
31-Dec-2007,Northern,Gynaecology,Acute Services,145,137,70,0,0,--,--,--,--,--,352,
31-Dec-2007,South Eastern,General Surgery,Acute Services,116,86,38,0,0,--,--,--,--,--,240,
31-Dec-2007,South Eastern,T & O Surgery,Acute Services,10,1,0,0,0,--,--,--,--,--,11,
31-Dec-2007,South Eastern,ENT,Acute Services,39,52,40,0,0,--,--,--,--,--,131,
31-Dec-2007,South Eastern,Ophthalmology,Acute Services,0,2,2,0,0,--,--,--,--,--,4,
31-Dec-2007,South Eastern,Oral Surgery,Acute Services,25,27,2,0,0,--,--,--,--,--,54,
31-Dec-2007,South Eastern,Plastic Surgery,Acute Services,49,123,33,0,0,--,--,--,--,--,205,
31-Dec-2007,South Eastern,Pain Management,Acute Services,2,0,0,0,0,--,--,--,--,--,2,
31-Dec-2007,South Eastern,General Medicine,Acute Services,10,1,0,0,0,--,--,--,--,--,11,
31-Dec-2007,South Eastern,Cardiology,Acute Services,13,4,0,0,0,--,--,--,--,--,17,
31-Dec-2007,South Eastern,Gynaecology,Acute Services,103,88,22,0,0,--,--,--,--,--,213,
31-Dec-2007,Southern,General Surgery,Acute Services,147,172,151,1,0,--,--,--,--,--,471,
31-Dec-2007,Southern,Urology,Acute Services,83,94,52,0,0,--,--,--,--,--,229,
31-Dec-2007,Southern,ENT,Acute Services,183,228,158,0,0,--,--,--,--,--,569,
31-Dec-2007,Southern,Gastroenterology,Acute Services,2,1,0,0,0,--,--,--,--,--,3,
31-Dec-2007,Southern,Cardiology,Acute Services,54,12,6,0,0,--,--,--,--,--,72,
31-Dec-2007,Southern,Gynaecology,Acute Services,132,127,67,0,0,--,--,--,--,--,326,
31-Dec-2007,Western,General Surgery,Acute Services,119,117,78,0,0,--,--,--,--,--,314,
31-Dec-2007,Western,Urology,Acute Services,34,26,15,0,0,--,--,--,--,--,75,
31-Dec-2007,Western,T & O Surgery,Acute Services,145,214,191,1,0,--,--,--,--,--,551,
31-Dec-2007,Western,ENT,Acute Services,121,158,79,0,0,--,--,--,--,--,358,
31-Dec-2007,Western,Ophthalmology,Acute Services,1,0,2,0,0,--,--,--,--,--,3,
31-Dec-2007,Western,Oral Surgery,Acute Services,18,12,5,0,0,--,--,--,--,--,35,
31-Dec-2007,Western,General Medicine,Acute Services,3,1,1,0,0,--,--,--,--,--,5,
31-Dec-2007,Western,Gynaecology,Acute Services,59,86,48,0,0,--,--,--,--,--,193,
31-Mar-2008,Belfast,General Surgery,Acute Services,427,356,168,0,0,--,--,--,--,--,951,
31-Mar-2008,Belfast,Urology,Acute Services,191,132,112,0,1,--,--,--,--,--,436,
31-Mar-2008,Belfast,T & O Surgery,Acute Services,685,957,923,6,30,--,--,--,--,--,"2,601",
31-Mar-2008,Belfast,ENT,Acute Services,318,377,205,0,0,--,--,--,--,--,900,
31-Mar-2008,Belfast,Ophthalmology,Acute Services,98,170,125,0,0,--,--,--,--,--,393,
31-Mar-2008,Belfast,Oral Surgery,Acute Services,11,42,10,0,0,--,--,--,--,--,63,
31-Mar-2008,Belfast,Neurosurgery,Acute Services,34,20,4,0,0,--,--,--,--,--,58,
31-Mar-2008,Belfast,Plastic Surgery,Acute Services,45,45,30,0,0,--,--,--,--,--,120,
31-Mar-2008,Belfast,Cardiac Surgery,Acute Services,113,127,91,0,0,--,--,--,--,--,331,
31-Mar-2008,Belfast,Paediatric Surgery,Acute Services,17,34,20,0,0,--,--,--,--,--,71,
31-Mar-2008,Belfast,Thoracic Surgery,Acute Services,20,19,13,0,0,--,--,--,--,--,52,
31-Mar-2008,Belfast,Pain Management,Acute Services,0,0,1,0,0,--,--,--,--,--,1,
31-Mar-2008,Belfast,General Medicine,Acute Services,56,28,11,0,0,--,--,--,--,--,95,
31-Mar-2008,Belfast,Gastroenterology,Acute Services,8,7,5,0,0,--,--,--,--,--,20,
31-Mar-2008,Belfast,Endocrinology,Acute Services,25,2,0,0,0,--,--,--,--,--,27,
31-Mar-2008,Belfast,Rehabilitation,Acute Services,1,2,1,0,0,--,--,--,--,--,4,
31-Mar-2008,Belfast,Cardiology,Acute Services,89,80,38,0,0,--,--,--,--,--,207,
31-Mar-2008,Belfast,Dermatology,Acute Services,5,0,0,0,0,--,--,--,--,--,5,
31-Mar-2008,Belfast,Thoracic Medicine,Acute Services,4,12,15,0,0,--,--,--,--,--,31,
31-Mar-2008,Belfast,Nephrology,Acute Services,8,6,0,0,0,--,--,--,--,--,14,
31-Mar-2008,Belfast,Medical Oncology,Acute Services,4,0,0,0,0,--,--,--,--,--,4,
31-Mar-2008,Belfast,Neurology,Acute Services,40,33,24,0,0,--,--,--,--,--,97,
31-Mar-2008,Belfast,Rheumatology,Acute Services,1,0,0,0,0,--,--,--,--,--,1,
31-Mar-2008,Belfast,Gynaecology,Acute Services,216,112,51,0,0,--,--,--,--,--,379,
31-Mar-2008,Belfast,Mental Illness,Mental Health,1,1,0,0,0,--,--,--,--,--,2,
31-Mar-2008,Belfast,Child & Adolescent Psychiatry,Mental Health,1,2,1,0,0,--,--,--,--,--,4,
31-Mar-2008,Belfast,Psychotherapy,Mental Health,2,0,0,0,0,--,--,--,--,--,2,
31-Mar-2008,Belfast,Clinical Oncology,Acute Services,28,0,0,0,0,--,--,--,--,--,28,
31-Mar-2008,Northern,General Surgery,Acute Services,141,133,57,0,0,--,--,--,--,--,331,
31-Mar-2008,Northern,Urology,Acute Services,68,31,13,0,0,--,--,--,--,--,112,
31-Mar-2008,Northern,ENT,Acute Services,140,126,56,0,0,--,--,--,--,--,322,
31-Mar-2008,Northern,General Medicine,Acute Services,9,2,1,0,0,--,--,--,--,--,12,
31-Mar-2008,Northern,Gastroenterology,Acute Services,0,1,0,0,0,--,--,--,--,--,1,
31-Mar-2008,Northern,Cardiology,Acute Services,3,13,4,0,0,--,--,--,--,--,20,
31-Mar-2008,Northern,Dermatology,Acute Services,1,0,0,0,0,--,--,--,--,--,1,
31-Mar-2008,Northern,Gynaecology,Acute Services,109,140,100,0,0,--,--,--,--,--,349,
31-Mar-2008,South Eastern,General Surgery,Acute Services,134,61,25,0,0,--,--,--,--,--,220,
31-Mar-2008,South Eastern,T & O Surgery,Acute Services,9,1,0,0,0,--,--,--,--,--,10,
31-Mar-2008,South Eastern,ENT,Acute Services,47,40,10,0,0,--,--,--,--,--,97,
31-Mar-2008,South Eastern,Ophthalmology,Acute Services,1,4,0,0,0,--,--,--,--,--,5,
31-Mar-2008,South Eastern,Oral Surgery,Acute Services,38,23,12,0,0,--,--,--,--,--,73,
31-Mar-2008,South Eastern,Plastic Surgery,Acute Services,32,72,20,0,0,--,--,--,--,--,124,
31-Mar-2008,South Eastern,Paediatric Surgery,Acute Services,1,1,0,0,0,--,--,--,--,--,2,
31-Mar-2008,South Eastern,Pain Management,Acute Services,1,0,0,0,0,--,--,--,--,--,1,
31-Mar-2008,South Eastern,General Medicine,Acute Services,12,1,0,0,0,--,--,--,--,--,13,
31-Mar-2008,South Eastern,Cardiology,Acute Services,6,7,1,0,0,--,--,--,--,--,14,
31-Mar-2008,South Eastern,Gynaecology,Acute Services,83,53,20,0,0,--,--,--,--,--,156,
31-Mar-2008,Southern,General Surgery,Acute Services,150,170,95,0,0,--,--,--,--,--,415,
31-Mar-2008,Southern,Urology,Acute Services,71,80,76,0,0,--,--,--,--,--,227,
31-Mar-2008,Southern,T & O Surgery,Acute Services,20,35,38,0,0,--,--,--,--,--,93,
31-Mar-2008,Southern,ENT,Acute Services,169,243,178,0,0,--,--,--,--,--,590,
31-Mar-2008,Southern,Gastroenterology,Acute Services,1,2,0,0,0,--,--,--,--,--,3,
31-Mar-2008,Southern,Cardiology,Acute Services,59,35,5,0,0,--,--,--,--,--,99,
31-Mar-2008,Southern,Rheumatology,Acute Services,0,1,0,0,0,--,--,--,--,--,1,
31-Mar-2008,Southern,Gynaecology,Acute Services,126,130,87,0,1,--,--,--,--,--,344,
31-Mar-2008,Western,General Surgery,Acute Services,120,106,73,0,0,--,--,--,--,--,299,
31-Mar-2008,Western,Urology,Acute Services,34,23,20,0,0,--,--,--,--,--,77,
31-Mar-2008,Western,T & O Surgery,Acute Services,197,196,118,0,0,--,--,--,--,--,511,
31-Mar-2008,Western,ENT,Acute Services,178,118,62,0,0,--,--,--,--,--,358,
31-Mar-2008,Western,Ophthalmology,Acute Services,1,1,0,0,0,--,--,--,--,--,2,
31-Mar-2008,Western,Oral Surgery,Acute Services,27,12,2,0,0,--,--,--,--,--,41,
31-Mar-2008,Western,General Medicine,Acute Services,1,0,0,0,0,--,--,--,--,--,1,
31-Mar-2008,Western,Paediatrics,Acute Services,2,0,0,0,0,--,--,--,--,--,2,
31-Mar-2008,Western,Gynaecology,Acute Services,86,76,40,0,0,--,--,--,--,--,202,
30-Jun-2008,Belfast,General Surgery,Acute Services,448,281,94,1,0,--,--,--,--,--,824,
30-Jun-2008,Belfast,Urology,Acute Services,181,145,56,7,0,--,--,--,--,--,389,
30-Jun-2008,Belfast,T & O Surgery,Acute Services,876,862,421,27,0,--,--,--,--,--,"2,186",
30-Jun-2008,Belfast,ENT,Acute Services,365,298,98,0,0,--,--,--,--,--,761,
30-Jun-2008,Belfast,Ophthalmology,Acute Services,131,148,63,0,0,--,--,--,--,--,342,
30-Jun-2008,Belfast,Oral Surgery,Acute Services,22,36,12,0,0,--,--,--,--,--,70,
30-Jun-2008,Belfast,Neurosurgery,Acute Services,39,34,4,0,0,--,--,--,--,--,77,
30-Jun-2008,Belfast,Plastic Surgery,Acute Services,28,38,24,0,0,--,--,--,--,--,90,
30-Jun-2008,Belfast,Cardiac Surgery,Acute Services,88,133,90,0,0,--,--,--,--,--,311,
30-Jun-2008,Belfast,Paediatric Surgery,Acute Services,29,30,9,3,0,--,--,--,--,--,71,
30-Jun-2008,Belfast,Thoracic Surgery,Acute Services,28,27,5,0,0,--,--,--,--,--,60,
30-Jun-2008,Belfast,Pain Management,Acute Services,2,0,0,0,0,--,--,--,--,--,2,
30-Jun-2008,Belfast,General Medicine,Acute Services,95,50,4,0,0,--,--,--,--,--,149,
30-Jun-2008,Belfast,Gastroenterology,Acute Services,9,8,1,0,0,--,--,--,--,--,18,
30-Jun-2008,Belfast,Endocrinology,Acute Services,13,1,0,0,0,--,--,--,--,--,14,
30-Jun-2008,Belfast,Cardiology,Acute Services,134,64,20,3,1,--,--,--,--,--,222,
30-Jun-2008,Belfast,Thoracic Medicine,Acute Services,8,9,1,0,0,--,--,--,--,--,18,
30-Jun-2008,Belfast,Nephrology,Acute Services,17,5,3,0,0,--,--,--,--,--,25,
30-Jun-2008,Belfast,Neurology,Acute Services,56,38,12,0,0,--,--,--,--,--,106,
30-Jun-2008,Belfast,Rheumatology,Acute Services,1,0,0,0,0,--,--,--,--,--,1,
30-Jun-2008,Belfast,Gynaecology,Acute Services,163,109,66,1,0,--,--,--,--,--,339,
30-Jun-2008,Belfast,Mental Illness,Mental Health,1,0,0,0,0,--,--,--,--,--,1,
30-Jun-2008,Belfast,Child & Adolescent Psychiatry,Mental Health,1,0,0,0,0,--,--,--,--,--,1,
30-Jun-2008,Belfast,Radiology,Acute Services,1,2,0,0,0,--,--,--,--,--,3,
30-Jun-2008,Northern,General Surgery,Acute Services,209,93,30,0,0,--,--,--,--,--,332,
30-Jun-2008,Northern,Urology,Acute Services,80,52,20,0,0,--,--,--,--,--,152,
30-Jun-2008,Northern,ENT,Acute Services,152,144,32,0,0,--,--,--,--,--,328,
