09:00,737.7,.000,21.8,25.1,14,41.4,.000,321,6.0
10:00,738.0,.000,21.7,25.9,9,48.5,.000,329,5.4
11:00,738.1,.000,21.6,26.7,13,51.5 - ,.000,328,5.4
12:00,738.1,.000,21.4,27.3,10,50.8 - ,.000,334,5.9
13:00,738.0,.000,21.6,27.3,17,47.2 - ,.000,323,5.7
14:00,737.8,.000,21.6,27.8,12,49.4 - ,.000,327,5.4
15:00,737.5,.000,21.6,28.3,7,45.8 - ,.000,317,5.4
16:00,737.4,.000,21.5,28.0,7,51.1 - ,.000,349,4.7
17:00,737.3,.000,21.6,27.5,6,55.5 - ,.000,342,4.2
18:00,737.6,.000,21.7,26.6,7,55.2 - ,.000,349,3.8
19:00,738.4,.000,21.7,24.5,3,56.8 - ,.000,346,3.1
20:00,739.0,.000,21.9,23.0,4,60.4 - ,.000,353,1.9
21:00,739.4,.000,22.0,21.3,7,54.3 - ,.000,7,1.6
22:00,739.4,.000,22.1,20.0,10,24.3 - ,.000,26,1.8
23:00,739.7,.000,22.2,18.9,11,20.2 - ,.000,36,2.1
Avg,737.8,.000,21.8,24.5,11,45.9,.000,326,3.7
Max,739.7,.000,22.2,28.3,21,60.4,.000,353,6.0
Hr. of Max,23,23,23,15,06,20,23,20,09
Min,736.7,.000,21.4,18.9,3,20.2,.000,7,1.6
Count,24,24,24,24,24,24,24,24,24
Total,,,,,,,,,
Date Printed:,,08/11/2016 10:34,,,,,,Allegheny County Health Department,
,,,,Daily Summary Report,,,,,
Site:,Avalon,,,,8/7/2016,,,Interval:,001h
,BP,H2S,INT_T,OUT_T,PM25B,SIGTHETA,SO2,SONICWD,SONICWS
Hour,MM/HG,PPM,DEGC,DEGC,UG/M3,DEG,PPM,DEG,MPH
00:00,739.8,.000 C ,22.2,18.1,12,59.4,.000 C ,2,1.4
01:00,739.7,.000 C ,22.4,17.4,12,38.5,.000 C ,13,1.5
02:00,739.7,.000,22.4,16.7,9,17.4,.000,36,1.9
03:00,740.0,.000,22.5,16.3,12,20.4,.000,24,1.7
04:00,740.2,.000,22.5,16.0,9,41.3 - ,.000,8,1.6
05:00,740.7,.000,22.6,15.6,7,34.0,.000,11,1.5
06:00,740.9,.000,22.5,17.2,14,57.3 - ,.000,333,1.2
07:00,741.2,.000,22.3,19.0,11,55.6 - ,.000,262,2.0
08:00,741.2,.000,22.1,20.6,20,30.0,.000,236,2.3
09:00,741.2,.000,22.0,23.3,20,30.5 - ,.000,250,3.6
10:00,741.4,.000,21.9,25.2,7,65.6 - ,.000,288,3.1
11:00,741.3,.000,21.7,25.9,8,46.7 - ,.000,265,4.4
12:00,741.2,.000,21.7,26.7,9,35.5 - ,.000,262,4.8
13:00,741.1,.000,21.6,27.7,8,61.2,.001,287,4.3
14:00,740.8,.000,21.5,28.1,11,35.3 - ,.002,275,5.1
15:00,740.4,.000,21.5,28.6,9,28.3,.002,269,5.3
16:00,740.2,.000,21.6,28.4,10,31.2 - ,.002,284,4.5
17:00,740.1,.000,21.4,28.5,8,45.4 - ,.000,299,3.6
18:00,740.2,.000,21.6,27.1,5,38.7 - ,.000,18,2.6
19:00,740.6,.000,21.6,25.9,3,55.4 - ,.000,4,3.4
20:00,741.2,.000,21.8,24.1,8,53.9 - ,.000,343,2.6
21:00,741.4,.000,21.9,22.8,8,53.1 - ,.000,341,1.9
22:00,741.3,.000,22.0,21.7,10,46.1 - ,.000,316,1.9
23:00,741.7,.000,22.1,20.6,7,33.8 - ,.000,315,2.2
Avg,740.7,.000,21.9,22.5,9,42.2,.000,317,2.8
Max,741.7,.000,22.6,28.6,20,65.6,.002,343,5.3
Hr. of Max,23,23,05,15,09,10,16,20,15
Min,739.7,.000,21.4,15.6,3,17.4,.000,2,1.2
Count,24,24,24,24,24,24,24,24,24
Total,,,,,,,,,
Date Printed:,,08/11/2016 10:34,,,,,,Allegheny County Health Department,
,,,,Daily Summary Report,,,,,
Site:,Avalon,,,,8/8/2016,,,Interval:,001h
,BP,H2S,INT_T,OUT_T,PM25B,SIGTHETA,SO2,SONICWD,SONICWS
Hour,MM/HG,PPM,DEGC,DEGC,UG/M3,DEG,PPM,DEG,MPH
00:00,741.9,.000 C ,22.1,20.2,8,51.1 - ,.000 C ,319,1.9
01:00,741.9,.000 C ,22.2,19.8,11,54.4 - ,.000 C ,295,1.8
02:00,742.0,.000,22.2,19.5,11,24.7 - ,.000,297,2.5
03:00,742.1,.000,22.2,19.0,9,44.0 - ,.000,21,1.8
04:00,742.0,.000,22.2,18.9,7,72.0,.000,304,1.3
05:00,742.1,.000,22.2,18.6,8,61.3,.000,327,1.4
06:00,742.3,.000,22.2,19.2,12,59.9,.000,223,1.9
07:00,742.9,.000,22.2,19.8,9,59.5 - ,.000,354,2.2
08:00,742.7,.000,22.2,20.3,6,46.5 - ,.000,92,2.9
09:00,742.8,.000,22.1,21.4,7,68.0 - ,.001,44,2.9
10:00,742.8,.000,22.0,24.0,8,54.3 - ,.002,134,3.5
11:00,742.5,.000,21.7,26.4,6,64.8 - ,.002,133,3.6
12:00,742.3,.000,21.7,27.7,11,54.5,.002,173,4.1
13:00,742.2,.000,21.4,28.1,8,66.2,.001,125,4.7
14:00,741.8,.000,21.5,29.3,16,51.3 - ,.001,160,4.4
15:00,741.5,.000,21.4,29.5,12,48.7 - ,.001,143,4.3
16:00,741.3,.000,21.5,29.3,10,46.5,.001,140,4.3
17:00,741.3,.000,21.3,29.2,11,34.9,.001,123,4.9
18:00,741.2,.000,21.5,28.6,11,30.4,.001,116,4.3
19:00,741.4,.000,21.6,26.9,12,18.6,.000,83,3.8
20:00,741.9,.000,21.8,25.4,16,15.2,.000,80,3.8
21:00,742.5,.000,21.9,25.1,17,27.9,.000,116,3.8
22:00,742.7,.000,22.0,24.4,20,33.0,.000,124,4.6
23:00,742.9,.000,22.0,23.5,14,34.0,.000,120,3.4
Avg,742.1,.000,21.8,23.9,10,46.7,.000,109,3.2
Max,742.9,.000,22.2,29.5,20,72.0,.002,354,4.9
Hr. of Max,23,23,08,15,22,04,12,07,17
Min,741.2,.000,21.3,18.6,6,15.2,.000,21,1.3
Count,24,24,24,24,24,24,24,24,24
Total,,,,,,,,,
Date Printed:,,08/11/2016 10:34,,,,,,Allegheny County Health Department,
,,,,Daily Summary Report,,,,,
Site:,Avalon,,,,8/9/2016,,,Interval:,001h
,BP,H2S,INT_T,OUT_T,PM25B,SIGTHETA,SO2,SONICWD,SONICWS
Hour,MM/HG,PPM,DEGC,DEGC,UG/M3,DEG,PPM,DEG,MPH
00:00,742.9,.000 C ,22.1,22.7,20,25.7,.000 C ,106,3.5
01:00,742.9,.000 C ,22.1,21.8,8,20.2,.000 C ,80,3.1
02:00,743.0,.000,22.2,20.3,15,16.9,.000,58,2.1
03:00,742.8,.000,22.2,19.6,10,16.3,.000,59,2.3
04:00,742.9,.000,22.2,19.7,9,31.5 - ,.000,73,2.3
05:00,743.0,.000,22.3,19.7,14,23.1,.000,77,2.2
06:00,743.2,.000,22.2,20.9,16,25.0,.000,82,2.7
07:00,743.3,.000,22.1,23.1,13,33.8,.000,128,4.0
08:00,743.3,.000,22.0,24.7,14,38.3,.001,142,4.3
09:00,743.3,.000,21.9,26.4,10,39.0,.001,138,4.4
10:00,743.3,.000,21.6,27.9,16,41.1,.000,171,5.0
11:00,743.1,.000,21.4,28.4,9,40.3,.000,184,4.5
12:00,742.8,.000,21.3,29.5,10,42.6,.000,166,4.5
13:00,742.4,.000,21.4,30.2,13,43.2,.000,180,4.6
14:00,742.1,.000,21.4,30.4,13,38.5,.000,170,4.4
15:00,741.7,.000,21.2,30.9,16,39.5,.000,169,4.2
16:00,741.6,.000,21.1,31.1,13,37.4,.000,161,4.7
17:00,741.5,.000,21.4,30.7,16,31.6,.000,162,4.9
18:00,741.8,.000,21.5,28.4,17,33.7,.000,155,5.4
19:00,741.9,.000,21.7,27.0,21,29.2,.000,151,3.8
20:00,742.3,.000,21.7,26.9,13,29.6,.000,148,3.8
21:00,742.7,.000,21.8,26.6,14,28.6,.000,155,4.4
22:00,742.9,.000,21.8,26.2,14,26.4,.000,156,4.6
23:00,743.0,.000,21.9,26.1,13,26.2,.000,165,3.9
Avg,742.6,.000,21.7,25.8,13,31.5,.000,138,3.9
Max,743.3,.000,22.3,31.1,21,43.2,.001,184,5.4
Hr. of Max,10,23,05,16,19,13,09,11,18
Min,741.5,.000,21.1,19.6,8,16.3,.000,58,2.1
Count,24,24,24,24,24,24,24,24,24
Total,,,,,,,,,
Date Printed:,,08/11/2016 10:34,,,,,,Allegheny County Health Department,
,,,,Daily Summary Report,,,,,
Site:,Avalon,,,,8/10/2016,,,Interval:,001h
,BP,H2S,INT_T,OUT_T,PM25B,SIGTHETA,SO2,SONICWD,SONICWS
Hour,MM/HG,PPM,DEGC,DEGC,UG/M3,DEG,PPM,DEG,MPH
00:00,742.9,.000 C ,21.9,25.9,14,32.8,.000 C ,163,3.4
01:00,742.9,.000 C ,21.9,25.5,10,35.5,.000 C ,185,3.5
02:00,743.0,.000,21.9,25.0,14,33.1,.000,178,3.3
03:00,742.8,.000,22.0,24.7,9,34.4,.000,163,2.9
04:00,743.1,.000,22.0,24.6,12,35.9,.000,156,2.8
05:00,743.4,.000,22.0,24.4,16,40.7,.000,156,2.8
06:00,743.8,.000,22.0,24.4,21,37.0,.000,141,2.4
07:00,744.2,.000,21.9,25.3,14,36.6,.000,158,2.7
08:00,744.4,.000,21.8,26.7,13,42.9,.000,214,4.0
09:00,744.6,.000,21.5,27.2,11,31.1,.000,256,6.2
10:00,744.6,.000,21.3,28.4,11,33.5,.000,283,5.3
11:00,744.3, D ,21.9,29.4,10,28.5,.000,282,5.6
12:00,744.3, D ,22.9,28.9,14,28.2 - , D ,287,5.5
13:00,743.9,.000,21.7,30.3,10,35.3 - ,.000,278,4.6
14:00,743.3,.000,21.2,30.8,9,41.5 - ,.000,283,4.2
15:00,743.4,.000,21.2,29.1,10,38.0,.000,243,5.8
16:00,743.4,.000,21.4,27.4,8,39.2,.000,285,3.1
17:00,743.3,.000,21.5,27.9,15,33.0,.000,189,2.6
18:00,743.4,.000,21.5,27.8,14,29.9,.000,145,2.5
19:00,743.5,.000,21.6,27.1,9,37.6,.000,152,2.7
20:00,743.7,.000,21.8,26.6,16,45.4,.000,146,2.6
21:00,743.9,.000,21.8,26.2,20,51.2,.000,135,2.3
22:00,744.2,.000,21.9,25.5,18,43.5,.000,154,2.5
23:00,743.8,.000,22.0,25.0,12,34.5,.000,146,2.3
Avg,743.6,.000,21.7,26.8,12,36.6,.000,191,3.5
Max,744.6,.000,22.9,30.8,21,51.2,.000,287,6.2
Hr. of Max,10,23,12,14,06,21,23,12,09
Min,742.8,.000,21.2,24.4,8,28.2,.000,135,2.3
Count,24,22,24,24,24,24,23,24,24
Total,,,,,,,,,
Date Printed:,,08/11/2016 10:34,,,,,,Allegheny County Health Department,
,,,,Daily Summary Report,,,,,
Site:,Avalon,,,,8/11/2016,,,Interval:,001h
,BP,H2S,INT_T,OUT_T,PM25B,SIGTHETA,SO2,SONICWD,SONICWS
Hour,MM/HG,PPM,DEGC,DEGC,UG/M3,DEG,PPM,DEG,MPH
00:00,743.8,.000 C ,22.0,24.7,13,45.8,.000 C ,180,1.9
01:00,743.8,.000 C ,22.0,24.5,13,44.9,.000 C ,129,1.6
02:00,743.9,.000,22.1,24.3,11,50.3,.000,79,1.5
03:00,743.8,.000,22.1,24.1,13,29.0,.000,151,2.6
04:00,743.8,.000,22.1,23.8,14,43.8,.000,144,2.0
05:00,743.9,.000,22.1,23.6,11,46.6,.000,148,2.2
06:00,744.0,.000,22.1,23.8,13,37.8,.000,137,2.5
07:00,744.1,.000,22.1,25.2,14,43.6,.000,143,2.5
08:00,744.0,.000,21.8,27.0,12,38.8,.000,148,3.1
09:00,743.7,.000,21.6,28.2,12,37.7,.000,171,3.8
10:00,,,,,,,,,
11:00,,,,,,,,,
12:00,,,,,,,,,
13:00,,,,,,,,,
14:00,,,,,,,,,
15:00,,,,,,,,,
16:00,,,,,,,,,
17:00,,,,,,,,,
18:00,,,,,,,,,
19:00,,,,,,,,,
20:00,,,,,,,,,
21:00,,,,,,,,,
22:00,,,,,,,,,
23:00,,,,,,,,,
Avg,743.8,.000,22.0,24.9,12,41.8,.000,144,2.3
Max,744.1,.000,22.1,28.2,14,50.3,.000,180,3.8
Hr. of Max,07,09,07,09,07,02,09,00,09
Min,743.7,.000,21.6,23.6,11,29.0,.000,79,1.5
Count,10,10,10,10,10,10,10,10,10
Total,,,,,,,,,
Date Printed:,,08/11/2016 10:34,,,,,,Allegheny County Health Department,
,,,,Daily Summary Report,,,,,
Site:,Flag Plaza,,,,8/5/2016,,,Interval:,001h
,CO,INT_T,OUT_T,PER_F,PM10,,,,
Hour,PPM,DEGC,DEGC,PERCENT,UG/M3,,,,
00:00,.2 C ,28.8,23.4,31,8,,,,
01:00,.2 C ,28.5,23.4,31,8,,,,
02:00,.2,28.3,23.1,31,7,,,,
03:00,.2,28.0,22.5,31,7,,,,
04:00,.2,27.6,22.1,31,8,,,,
05:00,.2,27.2,21.9,31,10,,,,
06:00,.3,25.9,22.4,31,15,,,,
07:00,.2,25.3,24.7,31,14,,,,
08:00,.2,25.2,25.9,31,11,,,,
09:00,.2,25.3,27.8,31,12,,,,
10:00,.2,24.8,28.3,31,13,,,,
11:00,.2,25.2,29.4,31,12,,,,
12:00,.2,25.1,30.2,31,10,,,,
13:00,.2,25.0,30.5,31,13,,,,
14:00,.2,24.8,30.4,31,12,,,,
15:00,.2,24.6,30.2,31,8,,,,
16:00,.2,24.4,30.5,31,9,,,,
17:00,.2,24.0,30.0,31,9,,,,
18:00,.2,24.9,28.7,32,11,,,,
19:00,.2,26.0,28.0,32,7,,,,
20:00,.3,26.5,27.4,32,9,,,,
21:00,.3,26.8,26.6,32,10,,,,
22:00,.3,27.1,25.9,32,10,,,,
23:00,.3,27.3,25.5,32,12,,,,
Avg,.2,26.1,26.6,31,10,,,,
Max,.3,28.8,30.5,32,15,,,,
Hr. of Max,23,00,16,23,06,,,,
Min,.2,24.0,21.9,31,7,,,,
Count,24,24,24,24,24,,,,
Total,,,,,,,,,
Date Printed:,,08/11/2016 10:34,,,,,,Allegheny County Health Department,
,,,,Daily Summary Report,,,,,
Site:,Flag Plaza,,,,8/6/2016,,,Interval:,001h
,CO,INT_T,OUT_T,PER_F,PM10,,,,
Hour,PPM,DEGC,DEGC,PERCENT,UG/M3,,,,
00:00,.3 C ,27.5,25.3,32,12,,,,
01:00,.2 C ,27.7,24.4,32,5,,,,
02:00,.2,27.8,23.5,32,5,,,,
03:00,.2,27.9,23.4,32,6,,,,
04:00,.3,28.0,23.7,32,9,,,,
05:00,.3,28.1,23.8,32,10,,,,
06:00,.3,28.1,24.0,32,12,,,,
07:00,.3,28.3,24.3,32,13,,,,
08:00,.3,28.4,24.6,32,9,,,,
09:00,.3,28.5,25.8,32,10,,,,
10:00,.3,28.8,26.0,32,4,,,,
11:00,.3,29.2,27.3,32,3,,,,
12:00,.2,29.4,27.7,32,1,,,,
13:00,.2,29.5,28.2,32,4,,,,
14:00,.2,29.5,28.5,32,3,,,,
15:00,.2,29.5,28.9,32,4,,,,
16:00,.2,29.5,28.8,32,4,,,,
17:00,.3,29.5,28.5,32,7,,,,
18:00,.2,29.5,27.5,32,5,,,,
19:00,.2,29.5,25.5,32,7,,,,
20:00,.3,29.5,24.4,32,7,,,,
21:00,.3,29.4,23.6,32,5,,,,
22:00,.3,29.4,22.6,32,7,,,,
23:00,.3,29.4,21.6,32,9,,,,
Avg,.2,28.8,25.4,32,6,,,,
Max,.3,29.5,28.9,32,13,,,,
Hr. of Max,23,20,15,23,07,,,,
Min,.2,27.5,21.6,32,1,,,,
Count,24,24,24,24,24,,,,
Total,,,,,,,,,
Date Printed:,,08/11/2016 10:34,,,,,,Allegheny County Health Department,
,,,,Daily Summary Report,,,,,
Site:,Flag Plaza,,,,8/7/2016,,,Interval:,001h
,CO,INT_T,OUT_T,PER_F,PM10,,,,
Hour,PPM,DEGC,DEGC,PERCENT,UG/M3,,,,
00:00,.3 C ,29.4,20.6,32,10,,,,
01:00,.4 C ,29.3,19.7,32,12,,,,
02:00,.3,29.2,19.0,33,11,,,,
03:00,.3,29.1,18.4,33,10,,,,
04:00,.3,28.9,17.9,33,12,,,,
05:00,.3,28.8,17.6,33,11,,,,
06:00,.3,28.7,18.2,33,11,,,,
07:00,.3,28.8,21.3,33,10,,,,
08:00,.3,29.0,24.9,33,7,,,,
09:00,.3,29.4,25.5,33,5,,,,
10:00,.3,29.9,27.1,33,5,,,,
11:00,.2,30.3,27.8,33,4,,,,
12:00,.2,30.5,28.3,33,4,,,,
13:00,.2,30.5,28.8,32,5,,,,
14:00,.2,30.5,29.7,32,9,,,,
15:00,.2,30.5,30.1,32,11,,,,
16:00,.2,30.5,30.2,32,11,,,,
17:00,.3,30.5,30.1,33,12,,,,
18:00,.3,30.4,29.1,33,10,,,,
19:00,.3,30.2,27.0,33,9,,,,
20:00,.3,29.9,25.4,33,8,,,,
21:00,.3,29.8,24.0,33,7,,,,
22:00,.3,29.7,22.8,33,6,,,,
23:00,.2,29.7,21.9,33,5,,,,
Avg,.2,29.7,24.3,33,8,,,,
Max,.4,30.5,30.2,33,12,,,,
Hr. of Max,01,17,16,23,17,,,,
Min,.2,28.7,17.6,32,4,,,,
Count,24,24,24,24,24,,,,
Total,,,,,,,,,
Date Printed:,,08/11/2016 10:34,,,,,,Allegheny County Health Department,
,,,,Daily Summary Report,,,,,
Site:,Flag Plaza,,,,8/8/2016,,,Interval:,001h
,CO,INT_T,OUT_T,PER_F,PM10,,,,
Hour,PPM,DEGC,DEGC,PERCENT,UG/M3,,,,
00:00,.2 C ,29.6,21.5,33,7,,,,
01:00,.2 C ,29.6,21.0,33,5,,,,
02:00,.2,29.5,20.3,33,6,,,,
03:00,.2,29.2,20.1,33,5,,,,
04:00,.2,28.6,19.6,33,6,,,,
05:00,.2,27.4,19.3,34,7,,,,
06:00,.3,25.6,19.7,34,8,,,,
07:00,.3,24.8,20.7,34,13,,,,
08:00,.3,25.0,21.8,34,10,,,,
09:00,.3,26.1,22.1,34,13,,,,
10:00,.3,25.2,25.3,33,19,,,,
11:00,.3,24.8,28.9,33,15,,,,
12:00,.4,24.6,29.5,33,14,,,,
13:00,.3,24.5,29.7,33,16,,,,
14:00,.3,24.2,30.6,33,14,,,,
15:00,.3,24.1,31.2,33,16,,,,
16:00,.3,24.0,30.7,33,10,,,,
17:00,.3,23.9,30.6,33,13,,,,
18:00,.2,25.2,29.4,34,13,,,,
19:00,.2,26.3,27.6,34,10,,,,
20:00,.3,26.8,26.2,34,19,,,,
21:00,.3,27.2,24.9,34,17,,,,
22:00,.3,27.5,24.1,34,13,,,,
23:00,.3,27.7,23.2,34,14,,,,
Avg,.2,26.3,24.9,33,11,,,,
Max,.4,29.6,31.2,34,19,,,,
Hr. of Max,12,01,15,23,20,,,,
Min,.2,23.9,19.3,33,5,,,,
Count,24,24,24,24,24,,,,
Total,,,,,,,,,
Date Printed:,,08/11/2016 10:34,,,,,,Allegheny County Health Department,
,,,,Daily Summary Report,,,,,
Site:,Flag Plaza,,,,8/9/2016,,,Interval:,001h
,CO,INT_T,OUT_T,PER_F,PM10,,,,
Hour,PPM,DEGC,DEGC,PERCENT,UG/M3,,,,
00:00,.2 C ,27.8,22.4,34,12,,,,
01:00,.3 C ,28.0,21.6,34,11,,,,
02:00,.6,28.0,20.9,34,15,,,,
03:00,.3,27.8,20.7,34,12,,,,
04:00,.3,27.5,20.2,34,16,,,,
05:00,.5,26.4,20.4,34,19,,,,
06:00,.8,25.1,21.7,34,26,,,,
07:00,.6,26.0,24.0,34,20,,,,
08:00,.3,25.7,25.8,34,19,,,,
09:00,.3,24.5,28.0,34,18,,,,
10:00,.2,24.3,28.7,34,24,,,,
11:00,.2,24.3,29.9,34,11,,,,
12:00,.2,24.4,30.8,34,13,,,,
13:00,.2,24.4,31.2,34,17,,,,
14:00,.2,24.4,31.8,34,15,,,,
15:00,.2,24.3,32.2,34,16,,,,
16:00,.2,24.1,32.1,34,15,,,,
17:00,.2,23.8,31.2,34,15,,,,
18:00,.2,24.9,28.1,35,23,,,,
19:00,.3,26.0,27.2,34,12,,,,
20:00,.2,26.6,26.9,34,12,,,,
21:00,.2,27.0,26.6,34,10,,,,
22:00,.2,27.3,26.4,34,9,,,,
23:00,.2,27.6,26.4,34,6,,,,
Avg,.2,25.8,26.4,34,15,,,,
Max,.8,28.0,32.2,35,26,,,,
Hr. of Max,06,02,15,18,06,,,,
Min,.2,23.8,20.2,34,6,,,,
Count,24,24,24,24,24,,,,
Total,,,,,,,,,
Date Printed:,,08/11/2016 10:34,,,,,,Allegheny County Health Department,
,,,,Daily Summary Report,,,,,
Site:,Flag Plaza,,,,8/10/2016,,,Interval:,001h
,CO,INT_T,OUT_T,PER_F,PM10,,,,
Hour,PPM,DEGC,DEGC,PERCENT,UG/M3,,,,
00:00,.2 C ,27.9,26.2,34,6,,,,
01:00,.2 C ,28.6,26.0,34,5,,,,
02:00,.2,29.0,25.6,34,6,,,,
03:00,.2,29.0,25.5,34,8,,,,
04:00,.2,28.8,25.3,34,10,,,,
05:00,.2,27.7,25.3,34,11,,,,
06:00,.2,26.6,25.5,34,14,,,,
07:00,.2,27.5,26.6,34,14,,,,
08:00,.2,26.2,28.5,34,13,,,,
09:00,.2,25.7,29.6,34,11,,,,
10:00,.2,25.9,30.3,34,10,,,,
11:00,.2,26.4,31.5,34,13,,,,
12:00,.2,26.3,31.9,34,13,,,,
13:00,.2,26.1,32.3,34,12,,,,
14:00,.3,25.9,32.8,34,9,,,,
15:00,.3,25.6,28.7,35,16,,,,
16:00,.3,25.2,27.0,35,8,,,,
17:00,.3,25.1,28.7,34,5,,,,
18:00,.4,26.4,28.9,34,14,,,,
19:00,.3,27.7,27.7,35,11,,,,
20:00,.3,28.4,27.3,35,12,,,,
21:00,.4,28.8,26.4,35,12,,,,
22:00,.3,29.2,26.1,35,10,,,,
23:00,.3,29.5,25.3,35,5,,,,
Avg,.2,27.2,27.8,34,10,,,,
Max,.4,29.5,32.8,35,16,,,,
Hr. of Max,21,23,14,23,15,,,,
Min,.2,25.1,25.3,34,5,,,,
Count,24,24,24,24,24,,,,
Total,,,,,,,,,
Date Printed:,,08/11/2016 10:34,,,,,,Allegheny County Health Department,
,,,,Daily Summary Report,,,,,
Site:,Flag Plaza,,,,8/11/2016,,,Interval:,001h
,CO,INT_T,OUT_T,PER_F,PM10,,,,
Hour,PPM,DEGC,DEGC,PERCENT,UG/M3,,,,
00:00,.2 C ,29.4,25.2,35,5,,,,
01:00,.2 C ,29.2,25.4,35,5,,,,
02:00,.2,29.1,25.2,35,10,,,,
03:00,.2,28.7,24.7,35,9,,,,
04:00,.2,28.2,24.5,35,9,,,,
05:00,.3,27.1,24.3,35,12,,,,
06:00,.4,25.2,24.8,35,14,,,,
07:00,.3,26.0,27.0,35,11,,,,
08:00,.2,25.2,28.4,35,12,,,,
09:00,.2,24.5,29.7,35,15,,,,
10:00,,,,,,,,,
11:00,,,,,,,,,
12:00,,,,,,,,,
13:00,,,,,,,,,
14:00,,,,,,,,,
15:00,,,,,,,,,
16:00,,,,,,,,,
17:00,,,,,,,,,
18:00,,,,,,,,,
19:00,,,,,,,,,
20:00,,,,,,,,,
21:00,,,,,,,,,
22:00,,,,,,,,,
23:00,,,,,,,,,
Avg,.2,27.2,25.9,35,10,,,,
Max,.4,29.4,29.7,35,15,,,,
Hr. of Max,06,00,09,09,09,,,,
Min,.2,24.5,24.3,35,5,,,,
Count,10,10,10,10,10,,,,
Total,,,,,,,,,
Date Printed:,,08/11/2016 10:34,,,,,,Allegheny County Health Department,
,,,,Daily Summary Report,,,,,
Site:,Glassport High Street,,,,8/5/2016,,,Interval:,001h
,PER_F,PM10,,,,,,,
Hour,PERCENT,UG/M3,,,,,,,
00:00,40,25,,,,,,,
01:00,40,30,,,,,,,
02:00,41,27,,,,,,,
03:00,41,32,,,,,,,
04:00,41,41,,,,,,,
05:00,41,31,,,,,,,
06:00,41,33,,,,,,,
07:00,41,35,,,,,,,
08:00,40,21,,,,,,,
09:00,40,18,,,,,,,
10:00,40,18,,,,,,,
11:00,39,15,,,,,,,
12:00,40,12,,,,,,,
13:00,40,22,,,,,,,
14:00,40,7,,,,,,,
15:00,40,5,,,,,,,
16:00,40,11,,,,,,,
