X,Y,FID,BRIDGE_COD,BRBIDGE_NA,FACILITYID,SHAPE_Leng,ET_ID,ET_X,ET_Y,ET_ANGLE,ET_IDP
-80.1218884268102,40.3729642499834,129,TH03,Thoms Run No. 2,413,10,244,1307720.51375,387595.077664,97.1958731134,244
-79.8237538015393,40.2727203196083,130,WC10,Wildcat Run Br #10,231,6,10,1389903.49693,348996.426753,294.428260121,10
-79.8933737653917,40.6490914579322,131,DS01,Dawsons Run No. 1,415,15,245,1373810.0946,486532.240567,105.642345139,245
-79.814533802034,40.2686392318366,132,WC09,Wildcat Run Br #9,232,11,11,1392440.74285,347449.859559,15.7339405438,11
-79.7322089737705,40.5002637531337,133,PB07,Plum Creek South Br. #7,417,8,246,1417301.43545,431282.199398,265.323300368,246
-80.0952361902628,40.3811526049987,134,WD01,Wood Run Br #1,233,12,12,1315222.96597,390378.703364,265.820711806,12
-80.1044115864118,40.3805632621635,135,WD02,Wood Run Br #2,234,5,13,1312661.99279,390232.091907,269.033829326,13
-79.7690861183054,40.4854319835553,136,PU04,Unity Trestle Rd. #4,418,8,247,1406925.13315,426112.67187,306.149633661,247
-79.8454026031534,40.2864402487845,137,WY13,Wylie's Run Br #13,235,23.9487771902,14,1383982.98078,354135.639297,221.289250401,14
-79.7829379736878,40.5841639003246,138,CE02,Crawford Run #2,419,41.0306503399,248,1403901.07458,462160.109966,112.074624955,248
-79.8459310319914,40.2870249045429,139,WY14,Wylie's Run Br #14,236,22,15,1383840.6563,354352.062053,211.938557833,15
-79.7239474058217,40.5051476604643,140,PM07,Plum Creek Br #7,420,16,249,1419638.13928,433009.520458,206.401258396,249
-79.8180262481464,40.3160951761774,141,YR09,Youghiogheny River #9,237,12,16,1391871.23432,364755.700613,217.874931364,16
-80.0935984155992,40.517255551982,142,LO07,Lowrie's Run #7,421,12,250,1316994.72615,439931.40292,187.989242719,250
-79.9911417136624,40.4361883263394,143,AR01,Armstrong Tunnels,1,1298.96600041,17,1344721.4085,409668.65931,149.012798508,17
-80.0842121647075,40.5222678484154,144,LO08,Lowrie's Run #8,422,12,251,1319651.69608,441687.659322,236.715555467,251
-80.0392976438568,40.5072073804523,145,PD04,Bellevue Rd Br,2,240,18,1331991.70346,435876.087409,46.6429360573,18
-80.078734678143,40.5050826345721,146,XP01,Spruce Run #1,423,36.8900645148,252,1321008.86703,435388.996961,154.692907515,252
-80.0266435075374,40.6198788094365,147,PN02,Pine Creek N Branch No 2,3,30,19,1336567.30406,476818.558869,271.615547596,19
-80.0790862613393,40.5029375408946,148,XP04,Spruce Run #4,424,18.9156984925,253,1320890.52626,434610.382029,113.395400509,253
-80.0461125605654,40.4992921901589,149,JA04,Jacks Run No 4,9,35,22,1330022.36806,433042.724649,13.2118981038,22
-80.1694401110965,40.5317966664574,150,PK01,Park's Run #1,425,8,254,1296061.50505,445795.376068,125.38305506,254
-80.0370696187375,40.5071581373398,151,PD03,Jacks Run No. 3,10,197,23,1332610.57336,435842.103166,358.984554063,23
-80.1495103525029,40.5531170183303,152,SS05,L. Sewickley Creek S. Br. #5,426,33.0703806525,255,1301810.26418,453408.513009,159.868533607,255
-79.7631431585387,40.4794793918971,153,PU05,Unity Trestle Rd. #5,428,7,256,1408528.35313,423906.959401,329.359209557,256
-80.0853295031031,40.5497496779963,154,LO09,Lowrie's Run No. 9,11,13,24,1319605.90178,451704.153531,144.010697314,24
-80.138067896273,40.6411871663199,155,SB07,Spang Road Bridge #7,430,15,257,1305856.22607,485395.462806,99.9993118017,257
-80.0187251027314,40.6111988354799,156,PN07,Pine Creek N Branch Br #7,12,22,25,1338683.52166,473600.822774,69.75903851,25
-80.225758009388,40.5533022034009,157,SN03,Spring Road Run #3,431,12,258,1280632.63702,454060.71228,46.4796075158,258
-80.1583227569108,40.5733745049754,158,SL03,Little Sewickley Creek No. 3,14,31,26,1299563.62574,460852.374652,180.835803703,26
-79.993157578763,40.5181710796089,159,TN05,Thompson Run N S #5,432,7,259,1344918.99475,439539.710273,50.0145230323,259
-79.9978715494612,40.5976254652405,160,IW01,Irwin Run No. 1,15,23,27,1344345.53335,468509.459632,104.872970828,27
-79.9909571513072,40.5223179531347,161,TN06,Thompson Run N S #6,433,8,260,1345568.89797,441034.418273,18.7482990132,260
-79.9777030937178,40.4982332537744,162,GI10,Girty's Run No. 10,17,38,28,1349031.11177,432169.848848,332.847688144,28
-79.9910321044169,40.5406612167403,163,PS08,Thompson Run #8,435,7,261,1345717.62889,447715.342233,138.825920251,261
-79.9977871330908,40.5499445539667,164,PS01,Pine Creek S Branch No. 1,19,34,29,1343926.88256,451143.93356,172.772084188,29
-79.9762669042789,40.5021983499318,165,WB07,Wible Run #7,436,10,262,1349466.8071,433603.815296,350.833611717,262
-79.9882904933042,40.5247623179437,166,TN07,Thompson Run N S No. 7,20,6,30,1346332.57306,441905.826837,196.224266085,30
-79.9740092558291,40.5024458026871,167,WB03,Wible Run #3,437,16,263,1350096.70422,433678.117152,60.3188775402,263
-79.9786025914527,40.5324974598607,168,PS06,Pine Creek S Branch No. 6,21,22,31,1349096.01097,444654.775307,3.59503367758,31
-79.9759571263595,40.5013740141535,169,WB11,Wible Run #11,438,16,264,1349545.35678,433301.431294,152.800699783,264
-79.9305732165946,40.5998387644701,170,PZ01,Middle Rd Br No. 1,22,100.171775152,32,1363047.97459,468847.017488,24.1336901728,32
-79.9748218825601,40.5020530231499,171,WB12,Wible Run #12,439,12,265,1349867.19003,433540.763207,130.805987533,265
-80.0125937331106,40.4966982399323,172,IV01,Ivory Avenue No. 1,23,192,33,1339316.66116,431857.483138,77.9827526442,33
-79.8651441852069,40.4178159998766,173,TY02,Tassy Hollow #2,440,10,266,1379623.23775,402112.610756,216.239742476,266
-79.9765757974958,40.5004227025979,174,WB01,Wible Run No. 1,24,20,34,1349364.62697,432959.312437,44.7141214044,34
-79.8177999757959,40.2854792473173,175,WC05,Wildcat Run #5,441,13,267,1391673.18901,353604.157055,49.8037218276,267
-79.9713125004706,40.5030378496463,176,WB04,Wible Run No 4,25,29,35,1350851.82552,433874.860808,36.2494643932,35
-79.8214772944602,40.2842412493298,177,WC06,Wildcat Run #6,442,13,268,1390636.98501,353177.330486,270.442669503,268
-79.8776224120114,40.4880574592466,178,SQ01,Squaw Run Br No 1,26,48,36,1376766.28121,427777.595483,75.7771978724,36
-80.0128716073281,40.4980909298189,179,NR01,Nelson Run #1,27,100.386377032,37,1339252.40569,432366.657338,215.003451878,37
-79.8129559511554,40.3701540634783,180,CK02,Crooked Run #2,443,41.9893258868,269,1393744.72698,384410.568712,103.838867299,269
-79.7777524262895,40.5952722826669,181,DY03,Days Run No. 3,30,31,38,1405433.89652,466172.823245,288.802371044,38
-79.8352888262074,40.3281376057487,182,LG08,Long Run Br #8,444,8,270,1387162.36571,369254.631528,261.148335171,270
-79.7833570668204,40.4899037401525,183,PU02,Plum Creek Upper Branch No 2,36,30,42,1402994.10835,427832.381063,200.496279271,42
-79.9342392542866,40.6501508698515,184,DE18,Deer Creek #18,445,12,271,1362483.57944,487195.894015,97.8991179619,271
-79.8798607855674,40.4064246750298,185,MA07,Rankin Bridge,38,863,43,1375426.70488,398062.462189,224.103216679,43
-79.817988699023,40.3817583233445,186,PD01,Jacks Run No 1,41,96.8988678405,44,1392441.80292,388669.582119,152.268618732,44
-79.9469827610092,40.643274281705,187,DW01,Deer Creek West Br. #1,446,10,272,1358886.30275,484779.13461,63.7177052011,272
-79.9181676560225,40.3315148113611,188,PR04,Pine Run Br No 4,42,23,45,1364092.10041,371040.970218,138.848245702,45
-79.9225269602645,40.6232179864261,189,DW02,Deer Creek West Br. #2,447,18,273,1365491.139,477306.693891,77.1145482511,273
-79.9162704433251,40.3297830091468,190,PR03,Pine Run Br No 3,43,13,46,1364605.39618,370397.297698,116.925311269,46
-79.8882149853911,40.6385780026011,191,DS03,Dawson Run #3,449,12,274,1375148.41721,482668.466303,349.412594714,274
-80.028811539286,40.3452396464452,192,PT15,Hillcrest Bridge,45,118,47,1333384.17403,376815.744355,261.521456843,47
-79.8884183010586,40.6384396080367,193,DS06,Dawson Run #6,451,12,275,1375090.78765,482619.428138,311.199579576,275
-79.9864971922578,40.3464779157506,194,PV01,Brownsville Rd No 1,48,115,48,1345186.27888,376965.202036,198.1787195,48
-79.8838912512403,40.634613609217,195,DS04,Dawson Run #4,450,9,276,1376313.11976,481195.584901,312.8470407,276
-79.887062288296,40.3458706758507,196,MA14,Mansfield Br,50,1931,49,1372888.01757,376057.824639,123.490976795,49
-79.8108125076852,40.4114221618663,197,TL09,Turtle Creek #9,452,15,277,1394692.59293,399426.342949,49.7111892308,277
-79.8904190035645,40.3475481448313,198,MA26,Maple Ave Underpass,51,68,50,1371967.47266,376691.393745,290.27638732,50
-79.8744319635982,40.4800554429036,199,RY02,Ryan's Run Br. #2,453,14,278,1377583.31695,424841.927222,123.864876192,278
-79.8936852862058,40.3949593233375,200,HV05,Homeville Creek No 5,55,13.33,52,1371476.55528,393980.045298,274.349064588,52
-79.8688472153472,40.4665798894462,201,SA13,Sandy Creek Br #13,454,10,279,1379018.6598,419896.85948,135.9365323,279
-79.8732240089943,40.3721236517612,202,TS05,Homeville Rd Viaduct,57,778,53,1376974.00344,385525.843722,348.353207553,53
-79.8108627608403,40.4603285150003,203,TE10,Thompson Run E Side #10,455,44.7439749209,280,1395094.33823,417238.346127,117.202817211,280
-80.0058042111458,40.3155144246371,204,CT05,Catfish Run No 5,59,24,54,1339518.45784,365825.959128,65.3060886699,54
-79.8371511814641,40.4874145081338,205,QY03,Quigley Run #3,457,9,281,1388014.4905,427274.831364,190.43932505,281
-79.9059362287451,40.3620045669534,206,TS04,Thompson Run Br No 4,60,15,55,1367772.24439,382061.412318,333.775817963,55
-79.8368368041725,40.4873055831914,207,QY01,Quigley Run #1,456,8,282,1388100.97236,427233.094535,351.01100945,282
-79.9150462138742,40.4067525628311,208,MA12 West,Homestead High Level (Ramp),61,340,56,1365633.96148,398420.121937,224.144914954,56
-79.8362158164543,40.4917014493202,209,XT02,Porter Creek #2,458,28.2435238327,283,1388311.47958,428829.991096,114.633384991,283
-79.9133121188799,40.4080695436563,210,MA12,Homestead High Level (Ramp),62,469.474441151,57,1366128.48283,398887.917034,225.854276511,57
-79.804658147519,40.4607441648255,211,TE09,Thompson Run E Side #9,459,12,284,1396823.89627,417349.500556,44.6175859622,284
-80.1130591798487,40.4658508035286,212,MO02,Moon Run Br No 2,65,15,58,1311084.9992,421355.396864,143.311907042,58
-79.8867979189148,40.5880977207742,213,SF01,Shaffer's Run #1,460,18,285,1375096.63661,464273.783425,271.521347351,285
-80.1738956185311,40.5341185834094,214,DV01,Beaver Road Bridge No. 1,461,10,286,1294846.70311,446674.901549,123.889642947,286
-80.1146012369314,40.4260960222587,215,CM05,Campbells Run No. 5,72,16,59,1310268.35564,406889.425837,103.906843418,59
-80.0646618278919,40.3620132065138,216,PA04,Painter's Run Br No 4,77,15,62,1323554.92349,383184.010813,118.590361924,62
-80.1249543336138,40.5387223507499,217,KL12,Kilbuck Run Bridge No. 12,462,16,287,1308490.35094,447981.908453,224.560143917,287
-80.2243968054731,40.5547848031117,218,SN02,Spring Run Rd Br No 2,78,14,63,1281025.86856,454590.02189,205.358488979,63
-80.1308935549216,40.5577227774743,219,KL16,Kilbuck Run Bridge No. 16,464,20.0913578936,288,1307026.80992,454945.814348,85.6012934328,288
-80.2067940727153,40.4712192912324,220,MC05,McClaren's Run Bridge No. 5,466,6,289,1285068.45021,424022.011995,295.128682651,289
-80.2272528185005,40.5524304751759,221,SN04,Spring Run Rd Br No 4,79,10,64,1280208.5188,453754.907554,250.811478497,64
-80.2110141346238,40.4743603415975,222,MC04,McClaren's Run Bridge No. 4,465,10,290,1283926.69916,425198.542694,314.510285804,290
-80.214191678504,40.47671347198,223,MC08,McClaren's Run Bridge No. 8,467,5,291,1283066.95627,426080.105318,329.808544345,291
-80.0966967897368,40.3712395437082,224,CC17,Chartiers Creek No 17,84,205.834856507,65,1314720.25275,386779.504208,28.0724953231,65
-80.1900382042487,40.4450897801065,225,MT17,Montour Run Bridge No.17,469,22.1981933103,292,1289465.44042,414377.428261,281.592111949,292
-80.233766729797,40.4551100881662,226,MT20,Montour Run No 20,86,20,67,1277402.11676,418365.625656,352.366609438,67
-80.1515741595893,40.4614077857459,227,MT18,Montour Run Bridge No.18,470,11,293,1300328.53442,420026.454487,295.744941514,293
-80.0462925681241,40.509412632653,228,XP05,Levi Bird Duff Br,89,889.556622461,70,1330068.18203,436729.690493,24.3327158259,70
-79.7416269467274,40.4596347820535,229,PJ02,Pierson's Run Bridge No. 2,471,8,294,1414349.2183,416543.684094,32.753568257,294
-79.9601665856043,40.5595607324255,230,GH03,Gourdhead Run #3,90,36,71,1354465.65539,454382.234971,279.811128425,71
-79.873447185731,40.473910421935,231,RY06,Ryan's Run Bridge No. 6,472,5,295,1377803.36024,422597.346338,96.9885806509,295
-79.8585869341089,40.47444563108,232,SA06,Sandy Creek Bridge #6,473,4,296,1381941.02951,422693.218425,119.564671089,296
-80.0042100366669,40.3781966974524,233,SW09,Saw Mill Run No 9,92,26.4370786944,72,1340545.67331,388641.933849,315.717237866,72
-80.2209109588906,40.5565043585248,234,SN01,Spring Run Bridge No 1,474,6,297,1282011.63237,455189.105703,63.2269028138,297
-79.9121048141873,40.2232895828746,235,PG08,Pangburn Hollow Br No 8,94,22,73,1364816.72106,331585.924669,341.322886908,73
-79.9150632235344,40.2286908783626,236,PG07,Pangburn Hollow Br No 7,95,25,74,1364039.09937,333573.199513,333.66563991,74
-80.1556449921164,40.3824624357298,237,TH07,Thom's Run Bridge No. 7,475,8,298,1298412.8862,391308.316792,171.55450804,298
-79.8815487437738,40.4745098407104,238,SD03,Shades Run No 3,96,395,75,1375555.38794,422869.944904,72.8742186642,75
-80.1616949344437,40.3947182028838,239,TH08,Thom's Run Bridge No. 8,476,6,299,1296850.01687,395817.342885,250.347569044,299
-79.9563622464383,40.3463396058991,240,AT01,Adtranz Ped Bridge,97,48,76,1353581.90628,376703.567904,159.637513158,76
-80.1566382705427,40.386539145785,241,TH10,Thom's Run Bridge No. 10,477,14,300,1298176.74619,392800.4321,345.815753886,300
-79.9725201618925,40.4051298675269,242,BC04,Beck's Run #4,98,27.2938926656,77,1349618.54403,398226.725109,350.107566357,77
-79.8688389328322,40.4140926165428,243,TY01,Tassy Hollow Bridge No. 1,478,12,301,1378562.23863,400781.240331,86.5948748756,301
-79.9763416493739,40.4046910146302,244,BC07,Beck's Run #7,99,22.6217462148,78,1348550.60919,398093.707028,132.273698369,78
-79.7905890842481,40.345196095885,245,WP01,White Oak Park Bridge No. 1,479,41.384055826,302,1399765.13028,375176.167878,152.012600771,302
-79.9792562007377,40.3982820297376,246,BC08,Beck's Run #8,100,33.7126050795,79,1347680.26077,395780.152002,347.60460128,79
